OBJECTID,Target Name,Target Color,Target Size,Target Pattern
1,Aoudad,Brown,Big,No
2,Bighorn Sheep,Brown,Big,No
3,Black Bear,Black,Medium,No
4,Black Buck,Black and White,Big,No
5,Black Panther,Black,Medium,No
6,Blesbok,Black,Big,No
7,Brown Bear,Brown,Medium,No
8,Chamois,Brown,Big,No
9,Coyote,Brown,Small,No
10,Grazing Doe,Brown,Big,No
11,Howling Wolf,Grey,Big,No
12,Hyena,Brown,Medium,Yes
13,Impala,Brown and White,Big,No
14,Javelina,Black,Small,Yes
15,Leopard,Brown,Medium,Yes
16,Lynx,Brown,Small,No
17,Medium Deer,Brown,Big,No
18,Mountain Lion,Brown,Medium,No
19,Mule Deer,Grey,Big,No
20,Pronghorn,Brown and White,Big,No
21,Russian Boar,Black,Medium,No
22,Strutting Turkey,Black,Small,No
23,Warthog,Grey,Medium,No
24,Wild Boar,Black,Medium,No
25,Wolverine,Black and Brown,Small,No
26,Small Wolf,Grey,Small,No
27,Ant Eater,Black and White,Medium,No
